StrategyID,PerformanceDate,MonthlyReturn
Convertible_Arbitrage,31-01-1997,0.0119
Convertible_Arbitrage,28-02-1997,0.0123
Convertible_Arbitrage,31-03-1997,0.0078
Convertible_Arbitrage,30-04-1997,0.0086
Convertible_Arbitrage,31-05-1997,0.0156
Convertible_Arbitrage,30-06-1997,0.0212
Convertible_Arbitrage,31-07-1997,0.0193
Convertible_Arbitrage,31-08-1997,0.0134
Convertible_Arbitrage,30-09-1997,0.0122
Convertible_Arbitrage,31-10-1997,0.01
Convertible_Arbitrage,30-11-1997,0
Convertible_Arbitrage,31-12-1997,0.0068
Convertible_Arbitrage,31-01-1998,0.0145
Convertible_Arbitrage,28-02-1998,0.0146
Convertible_Arbitrage,31-03-1998,0.0144
Convertible_Arbitrage,30-04-1998,0.0126
Convertible_Arbitrage,31-05-1998,0.0056
Convertible_Arbitrage,30-06-1998,-0.0006
Convertible_Arbitrage,31-07-1998,0.006
Convertible_Arbitrage,31-08-1998,-0.0319
Convertible_Arbitrage,30-09-1998,-0.0196
Convertible_Arbitrage,31-10-1998,-0.0214
Convertible_Arbitrage,30-11-1998,0.0269
Convertible_Arbitrage,31-12-1998,0.0113
Convertible_Arbitrage,31-01-1999,0.0219
Convertible_Arbitrage,28-02-1999,0.0082
Convertible_Arbitrage,31-03-1999,0.0136
Convertible_Arbitrage,30-04-1999,0.0243
Convertible_Arbitrage,31-05-1999,0.0166
Convertible_Arbitrage,30-06-1999,0.0102
Convertible_Arbitrage,31-07-1999,0.0101
Convertible_Arbitrage,31-08-1999,0.0048
Convertible_Arbitrage,30-09-1999,0.0096
Convertible_Arbitrage,31-10-1999,0.0045
Convertible_Arbitrage,30-11-1999,0.0124
Convertible_Arbitrage,31-12-1999,0.014
Convertible_Arbitrage,31-01-2000,0.0227
Convertible_Arbitrage,29-02-2000,0.0267
Convertible_Arbitrage,31-03-2000,0.0243
Convertible_Arbitrage,30-04-2000,0.0223
Convertible_Arbitrage,31-05-2000,0.0149
Convertible_Arbitrage,30-06-2000,0.0179
Convertible_Arbitrage,31-07-2000,0.0093
Convertible_Arbitrage,31-08-2000,0.0162
Convertible_Arbitrage,30-09-2000,0.0141
Convertible_Arbitrage,31-10-2000,0.0052
Convertible_Arbitrage,30-11-2000,-0.0081
Convertible_Arbitrage,31-12-2000,-0.0002
Convertible_Arbitrage,31-01-2001,0.0344
Convertible_Arbitrage,28-02-2001,0.0182
Convertible_Arbitrage,31-03-2001,0.0162
Convertible_Arbitrage,30-04-2001,0.0157
Convertible_Arbitrage,31-05-2001,0.0033
Convertible_Arbitrage,30-06-2001,0.0012
Convertible_Arbitrage,31-07-2001,0.0091
Convertible_Arbitrage,31-08-2001,0.0142
Convertible_Arbitrage,30-09-2001,0.0078
Convertible_Arbitrage,31-10-2001,0.0117
Convertible_Arbitrage,30-11-2001,0.008
Convertible_Arbitrage,31-12-2001,-0.0094
Convertible_Arbitrage,31-01-2002,0.0148
Convertible_Arbitrage,28-02-2002,-0.0049
Convertible_Arbitrage,31-03-2002,0.0053
Convertible_Arbitrage,30-04-2002,0.0096
Convertible_Arbitrage,31-05-2002,0.0033
Convertible_Arbitrage,30-06-2002,0.0004
Convertible_Arbitrage,31-07-2002,-0.0159
Convertible_Arbitrage,31-08-2002,0.005
Convertible_Arbitrage,30-09-2002,0.0146
Convertible_Arbitrage,31-10-2002,0.0104
Convertible_Arbitrage,30-11-2002,0.0251
Convertible_Arbitrage,31-12-2002,0.0157
Convertible_Arbitrage,31-01-2003,0.0283
Convertible_Arbitrage,28-02-2003,0.0133
Convertible_Arbitrage,31-03-2003,0.0089
Convertible_Arbitrage,30-04-2003,0.015
Convertible_Arbitrage,31-05-2003,0.0136
Convertible_Arbitrage,30-06-2003,-0.0058
Convertible_Arbitrage,31-07-2003,-0.0072
Convertible_Arbitrage,31-08-2003,-0.0087
Convertible_Arbitrage,30-09-2003,0.0171
Convertible_Arbitrage,31-10-2003,0.0146
Convertible_Arbitrage,30-11-2003,0.0092
Convertible_Arbitrage,31-12-2003,0.0054
Convertible_Arbitrage,31-01-2004,0.0119
Convertible_Arbitrage,29-02-2004,0.0017
Convertible_Arbitrage,31-03-2004,0.0061
Convertible_Arbitrage,30-04-2004,0.002
Convertible_Arbitrage,31-05-2004,-0.0128
Convertible_Arbitrage,30-06-2004,-0.0106
Convertible_Arbitrage,31-07-2004,0.0013
Convertible_Arbitrage,31-08-2004,0.004
Convertible_Arbitrage,30-09-2004,-0.0017
Convertible_Arbitrage,31-10-2004,-0.0044
Convertible_Arbitrage,30-11-2004,0.0081
Convertible_Arbitrage,31-12-2004,0.0056
Convertible_Arbitrage,31-01-2005,-0.0096
Convertible_Arbitrage,28-02-2005,-0.0058
Convertible_Arbitrage,31-03-2005,-0.014
Convertible_Arbitrage,30-04-2005,-0.0316
Convertible_Arbitrage,31-05-2005,-0.0133
Convertible_Arbitrage,30-06-2005,0.0107
Convertible_Arbitrage,31-07-2005,0.0164
Convertible_Arbitrage,31-08-2005,0.0066
Convertible_Arbitrage,30-09-2005,0.0142
Convertible_Arbitrage,31-10-2005,-0.0015
Convertible_Arbitrage,30-11-2005,0.0004
Convertible_Arbitrage,31-12-2005,0.0092
Convertible_Arbitrage,31-01-2006,0.025
Convertible_Arbitrage,28-02-2006,0.0116
Convertible_Arbitrage,31-03-2006,0.0107
Convertible_Arbitrage,30-04-2006,0.0064
Convertible_Arbitrage,31-05-2006,0.0091
Convertible_Arbitrage,30-06-2006,0.0012
Convertible_Arbitrage,31-07-2006,0.0066
Convertible_Arbitrage,31-08-2006,0.0098
Convertible_Arbitrage,30-09-2006,0.0093
Convertible_Arbitrage,31-10-2006,0.0054
Convertible_Arbitrage,30-11-2006,0.0092
Convertible_Arbitrage,31-12-2006,0.0127
Convertible_Arbitrage,31-01-2007,0.013
Convertible_Arbitrage,28-02-2007,0.0117
Convertible_Arbitrage,31-03-2007,0.006
Convertible_Arbitrage,30-04-2007,0.0026
Convertible_Arbitrage,31-05-2007,0.011
Convertible_Arbitrage,30-06-2007,0.0011
Convertible_Arbitrage,31-07-2007,-0.0053
Convertible_Arbitrage,31-08-2007,-0.0145
Convertible_Arbitrage,30-09-2007,0.0161
Convertible_Arbitrage,31-10-2007,0.0177
Convertible_Arbitrage,30-11-2007,-0.0131
Convertible_Arbitrage,31-12-2007,-0.0077
Convertible_Arbitrage,31-01-2008,-0.0009
Convertible_Arbitrage,29-02-2008,-0.0083
Convertible_Arbitrage,31-03-2008,-0.0317
Convertible_Arbitrage,30-04-2008,0.0076
Convertible_Arbitrage,31-05-2008,0.0107
Convertible_Arbitrage,30-06-2008,-0.0081
Convertible_Arbitrage,31-07-2008,-0.0188
Convertible_Arbitrage,31-08-2008,-0.0066
Convertible_Arbitrage,30-09-2008,-0.1027
Convertible_Arbitrage,31-10-2008,-0.1237
Convertible_Arbitrage,30-11-2008,-0.0276
Convertible_Arbitrage,31-12-2008,0.0177
Convertible_Arbitrage,31-01-2009,0.0491
Convertible_Arbitrage,28-02-2009,0.0164
Convertible_Arbitrage,31-03-2009,0.0235
Convertible_Arbitrage,30-04-2009,0.05
Convertible_Arbitrage,31-05-2009,0.0578
Convertible_Arbitrage,30-06-2009,0.0241
Convertible_Arbitrage,31-07-2009,0.0611
Convertible_Arbitrage,31-08-2009,0.0315
Convertible_Arbitrage,30-09-2009,0.0368
Convertible_Arbitrage,31-10-2009,0.0119
Convertible_Arbitrage,30-11-2009,0.008
Convertible_Arbitrage,31-12-2009,0.0215
Convertible_Arbitrage,31-01-2010,0.0053
Convertible_Arbitrage,28-02-2010,0.0036
Convertible_Arbitrage,31-03-2010,0.0229
Convertible_Arbitrage,30-04-2010,0.0199
Convertible_Arbitrage,31-05-2010,-0.0244
Convertible_Arbitrage,30-06-2010,0.0017
Convertible_Arbitrage,31-07-2010,0.0227
Convertible_Arbitrage,31-08-2010,0.0121
Convertible_Arbitrage,30-09-2010,0.0189
Convertible_Arbitrage,31-10-2010,0.0214
Convertible_Arbitrage,30-11-2010,-0.0012
Convertible_Arbitrage,31-12-2010,0.0145
Convertible_Arbitrage,31-01-2011,0.0181
Convertible_Arbitrage,28-02-2011,0.0162
Convertible_Arbitrage,31-03-2011,0.0038
Convertible_Arbitrage,30-04-2011,0.002
Convertible_Arbitrage,31-05-2011,-0.0017
Convertible_Arbitrage,30-06-2011,-0.0091
Convertible_Arbitrage,31-07-2011,-0.0033
Convertible_Arbitrage,31-08-2011,-0.0195
Convertible_Arbitrage,30-09-2011,-0.019
Convertible_Arbitrage,31-10-2011,0.0129
Convertible_Arbitrage,30-11-2011,-0.0094
Convertible_Arbitrage,31-12-2011,0.0029
Convertible_Arbitrage,31-01-2012,0.0236
Convertible_Arbitrage,29-02-2012,0.0218
Convertible_Arbitrage,31-03-2012,0.0065
Convertible_Arbitrage,30-04-2012,-0.0017
Convertible_Arbitrage,31-05-2012,-0.0077
Convertible_Arbitrage,30-06-2012,0.0072
Convertible_Arbitrage,31-07-2012,0.0092
Convertible_Arbitrage,31-08-2012,0.0076
Convertible_Arbitrage,30-09-2012,0.0057
Convertible_Arbitrage,31-10-2012,0.0017
Convertible_Arbitrage,30-11-2012,0.0041
Convertible_Arbitrage,31-12-2012,0.0098
Convertible_Arbitrage,31-01-2013,0.0158
Convertible_Arbitrage,28-02-2013,0.0009
Convertible_Arbitrage,31-03-2013,0.0077
Convertible_Arbitrage,30-04-2013,0.0052
Convertible_Arbitrage,31-05-2013,0.0134
Convertible_Arbitrage,30-06-2013,-0.0081
Convertible_Arbitrage,31-07-2013,0.006
Convertible_Arbitrage,31-08-2013,0.0046
Convertible_Arbitrage,30-09-2013,0.0043
Convertible_Arbitrage,31-10-2013,0.0095
Convertible_Arbitrage,30-11-2013,0.0007
